feature,importance
MMSE,0.5779277257617303
middle_temporal_bilateral_volume_mm3,0.07372416337860174
Age,0.04599204935522129
entorhinal_bilateral_volume_mm3,0.030199548323848132
hippocampus_left_csf_voxels,0.02861473970226715
middle_temporal_laterality_ratio,0.02364900121907208
middle_temporal_asymmetry_index,0.02165065675803718
total_segmented_vol_mm3,0.020329036886441897
entorhinal_right_volume_mm3,0.016441053859830124
entorhinal_laterality_ratio,0.011249378762555827
entorhinal_right_tissue_fraction,0.008760669277510744
Subject_ID,0.008212546419275834
ventricle_right_gm_voxels,0.007813178273581215
entorhinal_right_gm_voxels,0.007236174469650312
nwbv_abs_error,0.006513595583034056
inferior_temporal_left_csf_voxels,0.006234450440583322
entorhinal_asymmetry_index,0.005985515410212765
inferior_temporal_left_voxels,0.005848551031153176
ventricle_laterality_ratio,0.005369446069189893
middle_temporal_left_csf_voxels,0.004721111146262692
gm_wm_ratio,0.004516518076757559
hippocampus_asymmetry_index,0.0037473593469033
entorhinal_left_tissue_fraction,0.0036742334018610863
SES,0.0035763236506957483
inferior_temporal_left_gm_voxels,0.0035480025714854846
hippocampus_right_csf_voxels,0.0034771061381572883
hippocampus_bilateral_to_etiv,0.0032830276478076317
inferior_temporal_laterality_ratio,0.0031345776419219287
ventricle_right_csf_voxels,0.0030409162477871747
total_temporal_lobe_volume_mm3,0.0028485858753913474
inferior_temporal_bilateral_volume_mm3,0.0028148019629790286
brain_parenchyma_to_etiv,0.0023546483935112314
gm_vol_mm3,0.0022376521131707346
inferior_temporal_right_voxels,0.0022356313422229653
ventricle_left_tissue_fraction,0.0022036626430736945
ventricle_right_tissue_fraction,0.0018990422748787312
ventricle_left_gm_voxels,0.0018962966490919395
inferior_temporal_right_tissue_fraction,0.00188084354417327
inferior_temporal_asymmetry_index,0.0016835602813434429
ventricle_right_to_etiv,0.0016755800581931793
Educ,0.001674902727899735
ventricle_left_voxels,0.0015749142503106502
inferior_temporal_right_csf_voxels,0.0015523942138604087
entorhinal_right_voxels,0.0015237172521904666
entorhinal_right_wm_voxels,0.0013730643570270544
inferior_temporal_right_gm_voxels,0.0013437547901643517
gm_voxels,0.0013057515912408798
hippocampus_right_volume_mm3,0.0012843704617677295
hippocampus_right_wm_voxels,0.0011231416856861
entorhinal_right_csf_voxels,0.0010321841853534073
hippocampus_to_temporal_ratio,0.0009721851483185599
hippocampus_right_voxels,0.0009353858464752
inferior_temporal_left_wm_voxels,0.0009141047368285052
hippocampus_left_wm_voxels,0.0008204440309650069
M/F,0.0007719592362924098
ventricle_bilateral_volume_mm3,0.0006888941412763177
middle_temporal_right_csf_voxels,0.0005871316424640572
wm_vol_mm3,0.0005828457176323181
middle_temporal_left_wm_voxels,0.0005659639390171786
hippocampus_laterality_ratio,0.0005355648257342411
entorhinal_left_wm_voxels,0.000477403007980831
entorhinal_left_volume_mm3,0.0004741774809397005
ventricle_left_to_etiv,0.0004525197314462388
ventricle_right_wm_voxels,0.0004477225275786106
inferior_temporal_right_wm_voxels,0.00041672931568134534
ventricle_right_volume_mm3,0.0004087270799148267
inferior_temporal_left_volume_mm3,0.0003386884748138111
gm_to_etiv,0.0003363800465588303
csf_to_etiv,0.00031405699813514854
middle_temporal_right_wm_voxels,0.000279459111428434
csf_to_brain_ratio,0.00026365515623559126
gm_frac,0.0002509309984910159
entorhinal_left_csf_voxels,0.00022658222564691743
middle_temporal_right_volume_mm3,0.0002068012359076431
ventricle_left_wm_voxels,0.00016510552796919465
brain_parenchyma_frac,0.00014915123136528295
entorhinal_left_gm_voxels,0.00014264970754426776
ventricle_left_volume_mm3,0.00012996721713473165
wm_voxels,0.00012239004487537338
middle_temporal_right_tissue_fraction,0.00012219364944719626
entorhinal_bilateral_to_etiv,0.00011916307594766394
reconstructed_nwbv,0.0001189816263797822
middle_temporal_right_voxels,0.00011296049295930757
inferior_temporal_right_volume_mm3,8.11314199817128e-05
wm_frac,6.2627787419032e-05
hippocampus_bilateral_volume_mm3,5.362578220949168e-05
middle_temporal_left_tissue_fraction,4.7100233690497075e-05
hippocampus_right_gm_voxels,4.6120998896087e-05
nWBV,3.8192758487044165e-05
inferior_temporal_left_tissue_fraction,3.773929091283735e-05
entorhinal_left_voxels,2.6123977167349695e-05
ventricle_bilateral_to_etiv,2.5541772027104465e-05
hippocampus_left_volume_mm3,2.4322124537382162e-05
middle_temporal_left_volume_mm3,1.914459439126284e-05
ventricle_right_voxels,1.8511844484990627e-05
csf_vol_mm3,1.7690071455671937e-05
middle_temporal_left_voxels,1.5501049126777566e-05
middle_temporal_left_gm_voxels,9.79930706005474e-06
middle_temporal_right_gm_voxels,7.000002729910175e-06
ventricle_asymmetry_index,5.5889593581094396e-06
csf_frac,5.587716187743068e-06
csf_voxels,4.556726396825082e-06
ventricle_left_csf_voxels,3.720593976755317e-06
eTIV,3.1402573893646995e-06
hippocampus_left_to_etiv,2.6338863497959275e-06
hippocampus_left_tissue_fraction,1.2782208634791128e-06
brain_parenchyma_vol_mm3,1.189954769778135e-06
hippocampus_left_voxels,9.328049314905275e-07
ASF,5.616447392800164e-07
hippocampus_left_gm_voxels,2.4074275917572665e-07
wm_to_etiv,1.8182220337305985e-07
hippocampus_right_to_etiv,1.5359107406965702e-07
hippocampus_right_tissue_fraction,2.7330070688797524e-08
