feature,importance
MMSE,0.09100715793200687
gm_voxels,0.04599722266682854
brain_parenchyma_frac,0.03345228689410489
middle_temporal_bilateral_volume_mm3,0.03029125085493874
middle_temporal_left_gm_voxels,0.02801673114543484
gm_vol_mm3,0.027125067025503786
middle_temporal_left_voxels,0.0265818720232118
entorhinal_right_csf_voxels,0.023909284216322404
ventricle_left_csf_voxels,0.023319447891953872
total_temporal_lobe_volume_mm3,0.022513960700579545
gm_frac,0.02190941116650415
entorhinal_left_csf_voxels,0.02170985205991775
total_segmented_vol_mm3,0.02053002257052509
reconstructed_nwbv,0.02011007863451536
inferior_temporal_bilateral_volume_mm3,0.019272821641235137
nWBV,0.01837852215986858
csf_voxels,0.017278374594444444
Age,0.017183424912971222
brain_parenchyma_vol_mm3,0.01680296044281207
csf_to_brain_ratio,0.0164942643768825
csf_vol_mm3,0.01639026412770105
middle_temporal_left_volume_mm3,0.014543320135811088
middle_temporal_left_tissue_fraction,0.013380499049231455
ventricle_left_voxels,0.013241685675006323
ventricle_bilateral_to_etiv,0.01199111310559251
inferior_temporal_left_csf_voxels,0.011245419516801462
csf_frac,0.010864086608721488
entorhinal_right_voxels,0.010781400090183808
inferior_temporal_right_volume_mm3,0.009566924778763546
ventricle_right_to_etiv,0.009236056157445147
ventricle_left_wm_voxels,0.008895010496842829
ventricle_left_tissue_fraction,0.008735210287548633
entorhinal_left_wm_voxels,0.008445931239396163
entorhinal_right_volume_mm3,0.008427322009988794
inferior_temporal_left_gm_voxels,0.00774108019792683
Subject_ID,0.007558742068988034
middle_temporal_right_volume_mm3,0.007125150855546616
entorhinal_right_gm_voxels,0.006914656830827387
ventricle_right_csf_voxels,0.006363882532480646
ventricle_left_to_etiv,0.006340542702747922
csf_to_etiv,0.00625435046932428
middle_temporal_right_voxels,0.006223091384098528
Educ,0.006136830567862457
middle_temporal_laterality_ratio,0.00608338873860367
inferior_temporal_left_volume_mm3,0.0060539184604875606
middle_temporal_right_csf_voxels,0.0059524462175827965
entorhinal_left_voxels,0.005925393596448819
middle_temporal_right_tissue_fraction,0.005914704977823056
ventricle_left_gm_voxels,0.005850903250112482
wm_voxels,0.005674947166456436
middle_temporal_right_gm_voxels,0.005428976032843375
inferior_temporal_laterality_ratio,0.005338238911395784
entorhinal_right_tissue_fraction,0.005005721721755295
SES,0.004943984063710439
nwbv_abs_error,0.004915505905561507
middle_temporal_asymmetry_index,0.00466197025049149
entorhinal_bilateral_volume_mm3,0.004522382361745224
ASF,0.004510433836457637
entorhinal_left_tissue_fraction,0.0044485705910070035
entorhinal_laterality_ratio,0.004320224472787427
hippocampus_bilateral_volume_mm3,0.004286693238248915
hippocampus_left_volume_mm3,0.004134285602251095
entorhinal_left_volume_mm3,0.004121656883375087
inferior_temporal_left_wm_voxels,0.004100349880495483
ventricle_left_volume_mm3,0.004090272346283984
inferior_temporal_right_wm_voxels,0.00403095767894155
hippocampus_left_gm_voxels,0.003954555584358532
hippocampus_right_gm_voxels,0.003934641182970658
brain_parenchyma_to_etiv,0.003902322534604741
ventricle_right_wm_voxels,0.0038858290696277245
inferior_temporal_right_csf_voxels,0.0038340423967595126
entorhinal_left_gm_voxels,0.0037138388709867546
gm_wm_ratio,0.003674984232643183
wm_to_etiv,0.003667681236722568
ventricle_bilateral_volume_mm3,0.0035957835617076083
hippocampus_left_to_etiv,0.003559901594127338
inferior_temporal_asymmetry_index,0.003520273101183179
middle_temporal_left_wm_voxels,0.003519949668245995
hippocampus_right_wm_voxels,0.003502456484591081
inferior_temporal_right_tissue_fraction,0.0034764368846128472
inferior_temporal_left_tissue_fraction,0.003245641894614481
hippocampus_right_tissue_fraction,0.0032307467392188364
middle_temporal_right_wm_voxels,0.0031193251011465183
ventricle_right_gm_voxels,0.0031154511511260453
entorhinal_right_wm_voxels,0.003037251257932647
hippocampus_right_csf_voxels,0.0029837688765371666
hippocampus_left_csf_voxels,0.0029274839661880808
inferior_temporal_left_voxels,0.002925880391262306
hippocampus_laterality_ratio,0.002923187967226825
gm_to_etiv,0.002801867119537294
inferior_temporal_right_gm_voxels,0.0027588857369920034
hippocampus_right_to_etiv,0.0027514737063395966
hippocampus_left_wm_voxels,0.0026381646483338494
hippocampus_bilateral_to_etiv,0.0025320265718446005
middle_temporal_left_csf_voxels,0.0025242745202208408
entorhinal_asymmetry_index,0.0025237100180732067
ventricle_asymmetry_index,0.002449568944490914
entorhinal_bilateral_to_etiv,0.0023128725273377864
hippocampus_left_tissue_fraction,0.002187418353343929
hippocampus_right_volume_mm3,0.002165008171851442
ventricle_right_tissue_fraction,0.002148473108015685
hippocampus_asymmetry_index,0.0021101999943129186
wm_vol_mm3,0.00208480633120348
ventricle_right_voxels,0.0020643317478669116
inferior_temporal_right_voxels,0.0020313857196442575
hippocampus_right_voxels,0.0019604539366337484
eTIV,0.0015878502036473867
wm_frac,0.0013702682437203226
hippocampus_to_temporal_ratio,0.0013275822488967364
hippocampus_left_voxels,0.0011913891002746342
ventricle_laterality_ratio,0.0011324832629128316
ventricle_right_volume_mm3,0.0011143488565070045
M/F,0.0003772121953394245
