feature,importance
gm_voxels,0.24134734
MMSE,0.087200075
middle_temporal_bilateral_volume_mm3,0.06409684
total_temporal_lobe_volume_mm3,0.057587482
total_segmented_vol_mm3,0.045146782
wm_vol_mm3,0.038659994
ventricle_right_to_etiv,0.032131314
Age,0.028369632
M/F,0.02449135
entorhinal_right_volume_mm3,0.017768947
SES,0.017482772
entorhinal_left_csf_voxels,0.01604514
entorhinal_bilateral_volume_mm3,0.014821161
csf_to_etiv,0.014774687
ventricle_bilateral_to_etiv,0.014353701
ventricle_right_volume_mm3,0.01432106
hippocampus_left_to_etiv,0.014042609
hippocampus_left_csf_voxels,0.013387016
inferior_temporal_left_volume_mm3,0.0123305265
hippocampus_left_wm_voxels,0.012287075
hippocampus_left_volume_mm3,0.011052075
inferior_temporal_right_volume_mm3,0.011042943
entorhinal_bilateral_to_etiv,0.009860454
hippocampus_right_wm_voxels,0.009578014
gm_vol_mm3,0.009281375
inferior_temporal_left_wm_voxels,0.009159898
ventricle_left_wm_voxels,0.008720746
Educ,0.007620038
inferior_temporal_right_csf_voxels,0.0075286883
ventricle_asymmetry_index,0.006820942
gm_wm_ratio,0.0067699496
middle_temporal_asymmetry_index,0.00634534
ventricle_right_gm_voxels,0.005927934
inferior_temporal_bilateral_volume_mm3,0.005832093
ventricle_left_to_etiv,0.0057477495
middle_temporal_right_volume_mm3,0.00570767
Subject_ID,0.0056632315
middle_temporal_right_csf_voxels,0.0056064697
inferior_temporal_left_csf_voxels,0.0052981256
hippocampus_asymmetry_index,0.0050459476
hippocampus_right_volume_mm3,0.0046195304
middle_temporal_left_csf_voxels,0.0045654816
ventricle_left_gm_voxels,0.0045461482
csf_vol_mm3,0.0043528597
hippocampus_right_csf_voxels,0.004332733
middle_temporal_right_wm_voxels,0.0042661335
hippocampus_to_temporal_ratio,0.004083628
entorhinal_left_volume_mm3,0.004072124
nWBV,0.0038948026
ventricle_right_wm_voxels,0.003290479
entorhinal_right_wm_voxels,0.0032493884
gm_to_etiv,0.003205907
eTIV,0.002626113
inferior_temporal_asymmetry_index,0.0023943153
nwbv_abs_error,0.0023665428
inferior_temporal_right_wm_voxels,0.0022848574
entorhinal_right_csf_voxels,0.0022460558
ventricle_left_volume_mm3,0.001932858
wm_to_etiv,0.0018720917
entorhinal_left_wm_voxels,0.0015917928
brain_parenchyma_to_etiv,0.0013109972
middle_temporal_left_wm_voxels,0.0011326472
entorhinal_asymmetry_index,0.0011145562
hippocampus_bilateral_volume_mm3,0.001017334
wm_voxels,0.0003754484
reconstructed_nwbv,0.0
middle_temporal_right_tissue_fraction,0.0
inferior_temporal_left_tissue_fraction,0.0
csf_to_brain_ratio,0.0
entorhinal_laterality_ratio,0.0
brain_parenchyma_frac,0.0
wm_frac,0.0
gm_frac,0.0
csf_frac,0.0
middle_temporal_right_gm_voxels,0.0
middle_temporal_right_voxels,0.0
csf_voxels,0.0
inferior_temporal_left_gm_voxels,0.0
ASF,0.0
middle_temporal_laterality_ratio,0.0
hippocampus_bilateral_to_etiv,0.0
hippocampus_right_to_etiv,0.0
inferior_temporal_right_voxels,0.0
brain_parenchyma_vol_mm3,0.0
hippocampus_right_tissue_fraction,0.0
hippocampus_left_voxels,0.0
hippocampus_left_tissue_fraction,0.0
inferior_temporal_laterality_ratio,0.0
entorhinal_right_gm_voxels,0.0
entorhinal_right_tissue_fraction,0.0
entorhinal_right_voxels,0.0
middle_temporal_left_volume_mm3,0.0
middle_temporal_left_voxels,0.0
entorhinal_left_gm_voxels,0.0
entorhinal_left_tissue_fraction,0.0
entorhinal_left_voxels,0.0
ventricle_laterality_ratio,0.0
ventricle_bilateral_volume_mm3,0.0
ventricle_right_csf_voxels,0.0
ventricle_right_tissue_fraction,0.0
ventricle_right_voxels,0.0
middle_temporal_left_tissue_fraction,0.0
ventricle_left_csf_voxels,0.0
middle_temporal_left_gm_voxels,0.0
ventricle_left_tissue_fraction,0.0
ventricle_left_voxels,0.0
hippocampus_laterality_ratio,0.0
inferior_temporal_right_tissue_fraction,0.0
hippocampus_right_gm_voxels,0.0
hippocampus_right_voxels,0.0
inferior_temporal_left_voxels,0.0
hippocampus_left_gm_voxels,0.0
inferior_temporal_right_gm_voxels,0.0
