feature,importance
Age,0.06
inferior_temporal_left_csf_voxels,0.05
inferior_temporal_right_csf_voxels,0.05
middle_temporal_right_wm_voxels,0.05
Subject_ID,0.04
middle_temporal_bilateral_volume_mm3,0.04
entorhinal_right_wm_voxels,0.04
inferior_temporal_asymmetry_index,0.03
nwbv_abs_error,0.03
hippocampus_left_csf_voxels,0.03
total_segmented_vol_mm3,0.03
middle_temporal_laterality_ratio,0.02
inferior_temporal_left_wm_voxels,0.02
middle_temporal_asymmetry_index,0.02
ventricle_laterality_ratio,0.02
hippocampus_right_wm_voxels,0.02
ventricle_right_to_etiv,0.02
hippocampus_right_volume_mm3,0.02
entorhinal_left_wm_voxels,0.02
entorhinal_left_csf_voxels,0.02
brain_parenchyma_to_etiv,0.02
gm_wm_ratio,0.02
middle_temporal_right_csf_voxels,0.02
ventricle_right_gm_voxels,0.02
ventricle_right_voxels,0.01
entorhinal_left_tissue_fraction,0.01
entorhinal_right_gm_voxels,0.01
Educ,0.01
ventricle_asymmetry_index,0.01
gm_voxels,0.01
ventricle_right_volume_mm3,0.01
csf_vol_mm3,0.01
hippocampus_laterality_ratio,0.01
hippocampus_asymmetry_index,0.01
hippocampus_right_voxels,0.01
entorhinal_bilateral_volume_mm3,0.01
hippocampus_left_wm_voxels,0.01
wm_voxels,0.01
csf_to_etiv,0.01
csf_to_brain_ratio,0.01
brain_parenchyma_frac,0.01
entorhinal_right_csf_voxels,0.01
entorhinal_left_volume_mm3,0.01
entorhinal_asymmetry_index,0.01
inferior_temporal_laterality_ratio,0.01
middle_temporal_right_voxels,0.01
hippocampus_left_to_etiv,0.01
hippocampus_right_to_etiv,0.01
inferior_temporal_right_gm_voxels,0.01
inferior_temporal_bilateral_volume_mm3,0.01
inferior_temporal_left_voxels,0.01
ventricle_left_to_etiv,0.01
middle_temporal_left_wm_voxels,0.01
hippocampus_left_voxels,0.0
hippocampus_left_tissue_fraction,0.0
hippocampus_left_volume_mm3,0.0
hippocampus_left_gm_voxels,0.0
middle_temporal_left_csf_voxels,0.0
middle_temporal_right_volume_mm3,0.0
wm_to_etiv,0.0
gm_to_etiv,0.0
reconstructed_nwbv,0.0
middle_temporal_right_gm_voxels,0.0
middle_temporal_right_tissue_fraction,0.0
middle_temporal_left_tissue_fraction,0.0
hippocampus_bilateral_to_etiv,0.0
wm_frac,0.0
gm_frac,0.0
csf_frac,0.0
brain_parenchyma_vol_mm3,0.0
ventricle_bilateral_to_etiv,0.0
csf_voxels,0.0
wm_vol_mm3,0.0
gm_vol_mm3,0.0
entorhinal_bilateral_to_etiv,0.0
total_temporal_lobe_volume_mm3,0.0
middle_temporal_left_gm_voxels,0.0
hippocampus_right_gm_voxels,0.0
middle_temporal_left_voxels,0.0
hippocampus_right_tissue_fraction,0.0
inferior_temporal_left_volume_mm3,0.0
entorhinal_right_tissue_fraction,0.0
entorhinal_right_voxels,0.0
entorhinal_right_volume_mm3,0.0
inferior_temporal_left_tissue_fraction,0.0
entorhinal_left_gm_voxels,0.0
inferior_temporal_left_gm_voxels,0.0
entorhinal_left_voxels,0.0
hippocampus_to_temporal_ratio,0.0
inferior_temporal_right_volume_mm3,0.0
inferior_temporal_right_voxels,0.0
ventricle_bilateral_volume_mm3,0.0
ventricle_right_csf_voxels,0.0
ventricle_right_wm_voxels,0.0
inferior_temporal_right_tissue_fraction,0.0
ventricle_right_tissue_fraction,0.0
inferior_temporal_right_wm_voxels,0.0
ventricle_left_csf_voxels,0.0
ventricle_left_wm_voxels,0.0
ventricle_left_gm_voxels,0.0
ventricle_left_tissue_fraction,0.0
ventricle_left_voxels,0.0
ventricle_left_volume_mm3,0.0
hippocampus_bilateral_volume_mm3,0.0
hippocampus_right_csf_voxels,0.0
middle_temporal_left_volume_mm3,0.0
entorhinal_laterality_ratio,0.0
M/F,0.0
