feature,importance
gm_voxels,0.3143336184632653
entorhinal_right_csf_voxels,0.09708277181265539
entorhinal_left_csf_voxels,0.05144355326231044
Age,0.037841674805104246
entorhinal_bilateral_volume_mm3,0.03328341660810805
ventricle_left_wm_voxels,0.029385943422188546
inferior_temporal_right_csf_voxels,0.026754136171793026
entorhinal_left_wm_voxels,0.0243324526494271
inferior_temporal_left_wm_voxels,0.023251806468856693
middle_temporal_right_wm_voxels,0.022864107734156508
inferior_temporal_left_csf_voxels,0.0221354008173962
Educ,0.020735991994169027
middle_temporal_bilateral_volume_mm3,0.016617217952212403
wm_vol_mm3,0.014305406348739731
Subject_ID,0.012775021879679837
ventricle_right_gm_voxels,0.012417671817038225
middle_temporal_left_volume_mm3,0.012151456783593395
wm_frac,0.011125712597725665
gm_wm_ratio,0.009898429126683088
middle_temporal_laterality_ratio,0.009486570119029269
entorhinal_right_tissue_fraction,0.008912398058149515
middle_temporal_left_csf_voxels,0.007988773007822792
csf_vol_mm3,0.007699615230255468
middle_temporal_left_voxels,0.007112116440102074
entorhinal_right_voxels,0.007018006307684064
hippocampus_right_csf_voxels,0.006934927000606872
hippocampus_left_csf_voxels,0.006741466680249188
hippocampus_bilateral_volume_mm3,0.006700790935425342
entorhinal_left_voxels,0.006094395827217273
gm_frac,0.005593255210039192
ventricle_laterality_ratio,0.005336928506276123
hippocampus_left_voxels,0.004838943050446298
entorhinal_right_wm_voxels,0.0044939368413779695
hippocampus_right_to_etiv,0.004404296566708699
inferior_temporal_left_gm_voxels,0.004345963124243394
inferior_temporal_left_volume_mm3,0.004051960662314006
middle_temporal_left_wm_voxels,0.003948618728686958
middle_temporal_right_volume_mm3,0.00389677098777688
middle_temporal_right_gm_voxels,0.003890423593435774
inferior_temporal_right_volume_mm3,0.003836677872750926
nwbv_abs_error,0.0037680126018023053
hippocampus_right_wm_voxels,0.0036694681531223997
wm_voxels,0.0034307973982376045
ventricle_right_to_etiv,0.003415832457855459
ventricle_right_voxels,0.003365317629274151
hippocampus_laterality_ratio,0.0031534640626449074
hippocampus_left_volume_mm3,0.0030241557254599184
ventricle_left_gm_voxels,0.0030042627574386046
csf_to_etiv,0.0029811758973063438
middle_temporal_left_tissue_fraction,0.002956597143938365
entorhinal_right_gm_voxels,0.0029298666920294326
ventricle_asymmetry_index,0.0028744778788809384
hippocampus_to_temporal_ratio,0.0027235926711162146
hippocampus_left_wm_voxels,0.0024719126679148317
ventricle_right_wm_voxels,0.0022899140264221736
gm_vol_mm3,0.0022866891130770774
entorhinal_bilateral_to_etiv,0.0022768362057685202
wm_to_etiv,0.0021620472435098896
ventricle_bilateral_to_etiv,0.00201923435848687
middle_temporal_left_gm_voxels,0.0017577761220594862
ventricle_left_volume_mm3,0.0016182395933335726
inferior_temporal_asymmetry_index,0.00159489404229721
hippocampus_left_tissue_fraction,0.0015318410826253386
middle_temporal_right_csf_voxels,0.0014979626215608287
total_segmented_vol_mm3,0.0014173284291748923
ventricle_left_voxels,0.0013906033902158549
middle_temporal_asymmetry_index,0.0011425012950788947
ventricle_right_volume_mm3,0.0011372607542195423
inferior_temporal_right_voxels,0.0011340309685446556
entorhinal_laterality_ratio,0.0010292197542963457
ventricle_bilateral_volume_mm3,0.0009762321110725138
csf_to_brain_ratio,0.0008889655700383213
entorhinal_left_gm_voxels,0.000887465932913079
middle_temporal_right_voxels,0.0008604894186602244
inferior_temporal_right_tissue_fraction,0.000831171577999008
ventricle_left_tissue_fraction,0.0007917686430139708
middle_temporal_right_tissue_fraction,0.0007911261405113463
entorhinal_asymmetry_index,0.0006723954060893029
brain_parenchyma_frac,0.0006702005544581576
inferior_temporal_bilateral_volume_mm3,0.0006670281378000014
hippocampus_asymmetry_index,0.0006254960996337368
inferior_temporal_right_gm_voxels,0.0005810168448746594
total_temporal_lobe_volume_mm3,0.0005710776325507039
csf_frac,0.0005251969804738618
csf_voxels,0.00040076719910881684
M/F,0.00031766093982668294
hippocampus_right_voxels,0.0003149027714186108
hippocampus_left_to_etiv,0.0002715558027015589
hippocampus_bilateral_to_etiv,0.00027027008731819914
brain_parenchyma_to_etiv,0.00026132280505632594
ventricle_left_to_etiv,0.0002365303127686726
entorhinal_right_volume_mm3,0.00023373148301725045
inferior_temporal_left_tissue_fraction,0.0001331628883429021
entorhinal_left_tissue_fraction,0.0001272453113793292
reconstructed_nwbv,0.00012491199276380778
brain_parenchyma_vol_mm3,0.0001244181716023659
inferior_temporal_right_wm_voxels,9.866514063363282e-05
gm_to_etiv,9.45645424304781e-05
entorhinal_left_volume_mm3,9.006240418168056e-05
hippocampus_right_tissue_fraction,8.548305140486628e-05
inferior_temporal_left_voxels,7.35536979480835e-05
ventricle_right_tissue_fraction,6.933406153818949e-05
ventricle_right_csf_voxels,6.148308229793855e-05
hippocampus_left_gm_voxels,6.102679527899617e-05
ventricle_left_csf_voxels,3.913205745312085e-05
inferior_temporal_laterality_ratio,2.2254270149984462e-05
hippocampus_right_gm_voxels,2.2156653968043404e-05
hippocampus_right_volume_mm3,8.235223928014742e-06
