feature,importance
total_temporal_lobe_volume_mm3,0.03208556856045183
gm_vol_mm3,0.02874281711055933
csf_to_brain_ratio,0.028690164583323605
entorhinal_right_csf_voxels,0.02768946743142298
csf_voxels,0.027166147736811457
middle_temporal_left_volume_mm3,0.026710394080450523
brain_parenchyma_frac,0.026543774242320878
inferior_temporal_left_csf_voxels,0.026472734680273977
middle_temporal_left_voxels,0.025333205930745954
middle_temporal_right_tissue_fraction,0.025185142997396385
gm_voxels,0.023992184385056382
ventricle_left_wm_voxels,0.023822264354315923
ventricle_left_csf_voxels,0.022993820308821834
entorhinal_left_csf_voxels,0.02247672780736444
csf_vol_mm3,0.022049525577751757
middle_temporal_left_tissue_fraction,0.021322787624785997
inferior_temporal_right_gm_voxels,0.02004513226898142
brain_parenchyma_vol_mm3,0.01944620000644257
middle_temporal_left_gm_voxels,0.01925098498399271
total_segmented_vol_mm3,0.018354205529794828
middle_temporal_left_csf_voxels,0.018342591807125115
ventricle_left_voxels,0.01785217272511171
inferior_temporal_bilateral_volume_mm3,0.015402856057037437
middle_temporal_bilateral_volume_mm3,0.015304787894539758
gm_frac,0.014275684396470558
reconstructed_nwbv,0.013037121775662752
ventricle_left_tissue_fraction,0.012713188099478277
ventricle_left_to_etiv,0.011240666009312153
inferior_temporal_left_voxels,0.010924365324271174
entorhinal_left_wm_voxels,0.010824840913610644
entorhinal_left_volume_mm3,0.009192290549963303
Age,0.009188460585837253
entorhinal_right_voxels,0.009133123829636321
Educ,0.009052404071141
ventricle_right_tissue_fraction,0.00883065777449483
nWBV,0.008746544917514603
entorhinal_right_tissue_fraction,0.008294121850097844
entorhinal_left_gm_voxels,0.007747766359432771
csf_frac,0.007675839308917146
entorhinal_right_gm_voxels,0.007365021646217799
entorhinal_bilateral_volume_mm3,0.0073316667257523616
middle_temporal_laterality_ratio,0.007098743733631241
entorhinal_laterality_ratio,0.006743114446126328
entorhinal_right_wm_voxels,0.006666200269082875
inferior_temporal_right_wm_voxels,0.006566965437383246
middle_temporal_left_wm_voxels,0.006560721424394996
entorhinal_right_volume_mm3,0.006484970297215295
inferior_temporal_left_wm_voxels,0.006408430015316773
ventricle_right_to_etiv,0.0063977022607531195
wm_voxels,0.006284142756474697
nwbv_abs_error,0.006201082103772507
Subject_ID,0.005687695557343872
ventricle_right_volume_mm3,0.005577097048767794
csf_to_etiv,0.005523927896634058
wm_to_etiv,0.005484793372724138
entorhinal_asymmetry_index,0.005445690448312565
inferior_temporal_asymmetry_index,0.0053245147391725875
hippocampus_left_wm_voxels,0.005242701270027695
inferior_temporal_right_volume_mm3,0.005202049803283154
hippocampus_asymmetry_index,0.004991053730435539
hippocampus_laterality_ratio,0.004911173668843814
hippocampus_right_csf_voxels,0.004903948738987998
hippocampus_right_wm_voxels,0.00487663829869332
eTIV,0.004805639339438344
entorhinal_bilateral_to_etiv,0.004801542475168222
inferior_temporal_laterality_ratio,0.004733238877422913
middle_temporal_right_csf_voxels,0.004651424997187456
middle_temporal_right_gm_voxels,0.004541300832255469
middle_temporal_asymmetry_index,0.004282116037157944
inferior_temporal_right_csf_voxels,0.004193714212435399
entorhinal_left_voxels,0.0041650137231125485
wm_vol_mm3,0.004075757654187216
middle_temporal_right_wm_voxels,0.0039820700363014105
hippocampus_bilateral_to_etiv,0.003967060786125902
ventricle_right_csf_voxels,0.003922607577155249
entorhinal_left_tissue_fraction,0.003779586676542423
ventricle_right_wm_voxels,0.003779231371618156
ventricle_bilateral_to_etiv,0.003719113882428639
inferior_temporal_left_tissue_fraction,0.0035041612641875503
ventricle_left_gm_voxels,0.003238727124222302
ventricle_left_volume_mm3,0.0032293306254738458
hippocampus_left_to_etiv,0.0032212528818748617
hippocampus_left_tissue_fraction,0.0032023971847464504
SES,0.0031938544487301415
ventricle_right_voxels,0.0031777386270621815
hippocampus_left_voxels,0.0031739530476156052
hippocampus_right_tissue_fraction,0.003161307925442185
inferior_temporal_left_gm_voxels,0.0029013364730761234
ventricle_asymmetry_index,0.002863827234728953
middle_temporal_right_volume_mm3,0.0028629669939963603
inferior_temporal_right_tissue_fraction,0.0027512044021878344
hippocampus_right_voxels,0.002691725526685356
gm_to_etiv,0.0026867216318225565
wm_frac,0.0026404539756457535
hippocampus_bilateral_volume_mm3,0.0026158859089538515
ventricle_right_gm_voxels,0.0026108551313468124
hippocampus_left_gm_voxels,0.0025913472419994707
hippocampus_right_gm_voxels,0.0024796477103253218
ventricle_bilateral_volume_mm3,0.002452115324689759
inferior_temporal_right_voxels,0.0024451792238037277
hippocampus_left_csf_voxels,0.002443463201602645
hippocampus_to_temporal_ratio,0.0023952782664408276
gm_wm_ratio,0.0023427056167406052
middle_temporal_right_voxels,0.0022981437725755824
ventricle_laterality_ratio,0.0022844543500292916
brain_parenchyma_to_etiv,0.002162635675730593
ASF,0.0021334106878441784
inferior_temporal_left_volume_mm3,0.0020923931163609123
hippocampus_right_volume_mm3,0.001909407011844465
hippocampus_right_to_etiv,0.0017752190044879497
hippocampus_left_volume_mm3,0.0014711308557625554
M/F,0.00016356991335906158
