feature,coefficient,abs_coefficient
entorhinal_laterality_ratio,-0.5576144709555474,0.5576144709555474
inferior_temporal_left_wm_voxels,-0.5316094132826171,0.5316094132826171
ventricle_laterality_ratio,0.47603797396385794,0.47603797396385794
middle_temporal_right_wm_voxels,0.45090659093914087,0.45090659093914087
inferior_temporal_left_csf_voxels,0.3686308069226638,0.3686308069226638
inferior_temporal_laterality_ratio,0.36515261567585994,0.36515261567585994
hippocampus_right_wm_voxels,-0.34364220132677603,0.34364220132677603
Educ,-0.3309092009829104,0.3309092009829104
csf_to_brain_ratio,-0.3236352606364026,0.3236352606364026
hippocampus_right_csf_voxels,0.2657138938363473,0.2657138938363473
entorhinal_right_voxels,-0.2610074865425315,0.2610074865425315
entorhinal_right_gm_voxels,-0.2610074865425315,0.2610074865425315
entorhinal_right_volume_mm3,-0.2610074865425315,0.2610074865425315
entorhinal_right_tissue_fraction,-0.2610074865425306,0.2610074865425306
Age,0.2564219760495396,0.2564219760495396
middle_temporal_right_csf_voxels,-0.25363340843482285,0.25363340843482285
ventricle_right_to_etiv,-0.2490137674115147,0.2490137674115147
csf_to_etiv,-0.2444420371759338,0.2444420371759338
M/F,0.2405142794139727,0.2405142794139727
hippocampus_left_wm_voxels,0.22282707816931613,0.22282707816931613
entorhinal_right_csf_voxels,0.22020670528999856,0.22020670528999856
gm_voxels,-0.21847546836994966,0.21847546836994966
inferior_temporal_asymmetry_index,-0.2109315860597009,0.2109315860597009
gm_vol_mm3,-0.19308708066909147,0.19308708066909147
gm_frac,-0.19293091257522849,0.19293091257522849
hippocampus_left_to_etiv,-0.18897179771460682,0.18897179771460682
wm_to_etiv,0.17997069119199957,0.17997069119199957
hippocampus_left_csf_voxels,-0.17557026227956818,0.17557026227956818
csf_voxels,0.16897240906285665,0.16897240906285665
entorhinal_asymmetry_index,0.16848616291106402,0.16848616291106402
ventricle_asymmetry_index,-0.16457851682128155,0.16457851682128155
csf_vol_mm3,0.16328480431766346,0.16328480431766346
brain_parenchyma_vol_mm3,-0.1632336376452694,0.1632336376452694
reconstructed_nwbv,-0.16304378932484734,0.16304378932484734
brain_parenchyma_frac,-0.16304378932484734,0.16304378932484734
csf_frac,0.1630437893248462,0.1630437893248462
middle_temporal_asymmetry_index,-0.15758048042673653,0.15758048042673653
middle_temporal_left_csf_voxels,0.1516163302224199,0.1516163302224199
middle_temporal_left_gm_voxels,-0.14806635708829294,0.14806635708829294
middle_temporal_left_voxels,-0.14806635708829294,0.14806635708829294
middle_temporal_left_volume_mm3,-0.14806635708829294,0.14806635708829294
middle_temporal_left_tissue_fraction,-0.14806635708829088,0.14806635708829088
ventricle_left_gm_voxels,-0.1422535309973084,0.1422535309973084
ventricle_right_wm_voxels,0.13585816274834092,0.13585816274834092
ventricle_right_gm_voxels,-0.12160293081263462,0.12160293081263462
entorhinal_bilateral_volume_mm3,-0.10915417219347102,0.10915417219347102
ventricle_left_to_etiv,0.10181292238914173,0.10181292238914173
hippocampus_right_to_etiv,0.10060642156214286,0.10060642156214286
gm_wm_ratio,-0.08520571100793692,0.08520571100793692
middle_temporal_right_volume_mm3,0.08478833865235194,0.08478833865235194
middle_temporal_right_voxels,0.08478833865235194,0.08478833865235194
middle_temporal_right_gm_voxels,0.08478833865235194,0.08478833865235194
middle_temporal_right_tissue_fraction,0.0847883386523498,0.0847883386523498
ventricle_right_volume_mm3,-0.08423130943196323,0.08423130943196323
ventricle_right_voxels,-0.08423130943196323,0.08423130943196323
ventricle_right_csf_voxels,-0.08423130943196323,0.08423130943196323
ventricle_right_tissue_fraction,-0.08423130943196155,0.08423130943196155
hippocampus_right_volume_mm3,-0.08276604668109797,0.08276604668109797
hippocampus_right_voxels,-0.08276604668109797,0.08276604668109797
hippocampus_right_gm_voxels,-0.08276604668109797,0.08276604668109797
hippocampus_right_tissue_fraction,-0.08276604668109791,0.08276604668109791
