feature,importance
gm_voxels,0.56698745
total_segmented_vol_mm3,0.05204424
middle_temporal_left_volume_mm3,0.023379844
Age,0.020255717
hippocampus_left_to_etiv,0.015704038
entorhinal_right_wm_voxels,0.015233076
entorhinal_left_wm_voxels,0.014027419
entorhinal_bilateral_volume_mm3,0.011992181
ventricle_right_to_etiv,0.011781688
ventricle_left_wm_voxels,0.011257001
hippocampus_bilateral_to_etiv,0.010826614
middle_temporal_bilateral_volume_mm3,0.0098784985
M/F,0.009302517
hippocampus_right_to_etiv,0.009242736
wm_vol_mm3,0.009220121
ventricle_bilateral_volume_mm3,0.008930383
ventricle_left_gm_voxels,0.008580214
inferior_temporal_left_wm_voxels,0.008242147
Educ,0.008167656
hippocampus_left_csf_voxels,0.008160075
hippocampus_left_volume_mm3,0.007739189
entorhinal_bilateral_to_etiv,0.007655175
hippocampus_to_temporal_ratio,0.0074777333
Subject_ID,0.006914285
hippocampus_right_csf_voxels,0.0067117396
inferior_temporal_right_csf_voxels,0.006367089
ventricle_bilateral_to_etiv,0.0059558717
inferior_temporal_left_csf_voxels,0.005659335
entorhinal_left_csf_voxels,0.005404216
middle_temporal_asymmetry_index,0.0050808834
csf_vol_mm3,0.004874842
ventricle_right_wm_voxels,0.00485789
hippocampus_left_wm_voxels,0.004847003
nwbv_abs_error,0.004734132
middle_temporal_right_csf_voxels,0.004463942
gm_vol_mm3,0.004435458
middle_temporal_right_wm_voxels,0.0043588295
entorhinal_right_volume_mm3,0.004316489
entorhinal_right_csf_voxels,0.004179099
gm_wm_ratio,0.004019029
wm_to_etiv,0.003903283
hippocampus_asymmetry_index,0.0038690257
inferior_temporal_bilateral_volume_mm3,0.003854278
total_temporal_lobe_volume_mm3,0.0037819294
hippocampus_right_wm_voxels,0.003565079
inferior_temporal_right_wm_voxels,0.0034643472
csf_to_etiv,0.0033212136
inferior_temporal_right_volume_mm3,0.0033073416
brain_parenchyma_to_etiv,0.0029057718
middle_temporal_right_volume_mm3,0.0026812612
entorhinal_left_volume_mm3,0.0026180737
ventricle_right_volume_mm3,0.0025412496
entorhinal_asymmetry_index,0.0023211162
inferior_temporal_asymmetry_index,0.0022954948
inferior_temporal_left_volume_mm3,0.0018027005
hippocampus_right_volume_mm3,0.0017342407
ventricle_asymmetry_index,0.0017295914
ventricle_right_gm_voxels,0.0014842866
middle_temporal_left_csf_voxels,0.0012721897
gm_to_etiv,0.0011914038
brain_parenchyma_vol_mm3,0.0011751311
middle_temporal_left_wm_voxels,0.00109271
ventricle_left_to_etiv,0.00067041395
ventricle_left_volume_mm3,0.0001520521
csf_voxels,0.0
middle_temporal_laterality_ratio,0.0
wm_voxels,0.0
hippocampus_left_gm_voxels,0.0
brain_parenchyma_frac,0.0
csf_to_brain_ratio,0.0
hippocampus_left_voxels,0.0
reconstructed_nwbv,0.0
csf_frac,0.0
gm_frac,0.0
hippocampus_right_voxels,0.0
wm_frac,0.0
hippocampus_left_tissue_fraction,0.0
middle_temporal_left_voxels,0.0
hippocampus_right_tissue_fraction,0.0
hippocampus_right_gm_voxels,0.0
inferior_temporal_right_gm_voxels,0.0
inferior_temporal_right_tissue_fraction,0.0
inferior_temporal_right_voxels,0.0
middle_temporal_left_tissue_fraction,0.0
inferior_temporal_left_gm_voxels,0.0
inferior_temporal_left_tissue_fraction,0.0
inferior_temporal_left_voxels,0.0
entorhinal_laterality_ratio,0.0
middle_temporal_left_gm_voxels,0.0
entorhinal_right_gm_voxels,0.0
entorhinal_right_tissue_fraction,0.0
entorhinal_right_voxels,0.0
entorhinal_left_gm_voxels,0.0
entorhinal_left_tissue_fraction,0.0
entorhinal_left_voxels,0.0
ventricle_laterality_ratio,0.0
middle_temporal_right_voxels,0.0
ventricle_right_csf_voxels,0.0
ventricle_right_tissue_fraction,0.0
ventricle_right_voxels,0.0
ventricle_left_csf_voxels,0.0
middle_temporal_right_tissue_fraction,0.0
inferior_temporal_laterality_ratio,0.0
ventricle_left_tissue_fraction,0.0
ventricle_left_voxels,0.0
hippocampus_laterality_ratio,0.0
hippocampus_bilateral_volume_mm3,0.0
middle_temporal_right_gm_voxels,0.0
