feature,coefficient,abs_coefficient
inferior_temporal_left_wm_voxels,-0.5301221222042969,0.5301221222042969
entorhinal_laterality_ratio,-0.5194116790498143,0.5194116790498143
ventricle_laterality_ratio,0.4776334376016732,0.4776334376016732
middle_temporal_right_wm_voxels,0.4616445095071079,0.4616445095071079
Educ,-0.42486172561879487,0.42486172561879487
inferior_temporal_laterality_ratio,0.3720437323255001,0.3720437323255001
inferior_temporal_left_csf_voxels,0.3638232719544054,0.3638232719544054
hippocampus_right_wm_voxels,-0.3433160004347889,0.3433160004347889
csf_to_brain_ratio,-0.3347226691145236,0.3347226691145236
Age,0.2720117537480642,0.2720117537480642
hippocampus_right_csf_voxels,0.2696924331073055,0.2696924331073055
middle_temporal_right_csf_voxels,-0.2588968793846975,0.2588968793846975
ventricle_right_to_etiv,-0.253024798151034,0.253024798151034
entorhinal_right_volume_mm3,-0.25173889469448896,0.25173889469448896
entorhinal_right_voxels,-0.25173889469448896,0.25173889469448896
entorhinal_right_gm_voxels,-0.25173889469448896,0.25173889469448896
entorhinal_right_tissue_fraction,-0.2517388946944878,0.2517388946944878
M/F,0.2369218199120628,0.2369218199120628
entorhinal_right_csf_voxels,0.23104953045202647,0.23104953045202647
hippocampus_left_wm_voxels,0.22299310562736255,0.22299310562736255
csf_to_etiv,-0.218351989184197,0.218351989184197
wm_to_etiv,0.214154677231207,0.214154677231207
inferior_temporal_asymmetry_index,-0.21387365134845743,0.21387365134845743
gm_voxels,-0.2124788349779657,0.2124788349779657
gm_vol_mm3,-0.19043390205476138,0.19043390205476138
gm_frac,-0.1902840553339743,0.1902840553339743
hippocampus_left_to_etiv,-0.1856164549840758,0.1856164549840758
ventricle_asymmetry_index,-0.17249807251099072,0.17249807251099072
hippocampus_left_csf_voxels,-0.17246964537853565,0.17246964537853565
csf_voxels,0.1638177904624666,0.1638177904624666
middle_temporal_asymmetry_index,-0.16224435222174108,0.16224435222174108
entorhinal_asymmetry_index,0.16081744531857356,0.16081744531857356
csf_vol_mm3,0.16006585285538003,0.16006585285538003
brain_parenchyma_vol_mm3,-0.16003590007595975,0.16003590007595975
csf_frac,0.15984279310814978,0.15984279310814978
brain_parenchyma_frac,-0.15984279310814972,0.15984279310814972
reconstructed_nwbv,-0.15984279310814972,0.15984279310814972
SES,-0.15641302913045343,0.15641302913045343
middle_temporal_left_csf_voxels,0.15011714701676102,0.15011714701676102
ventricle_left_gm_voxels,-0.14477650828653882,0.14477650828653882
middle_temporal_left_gm_voxels,-0.14266080861333139,0.14266080861333139
middle_temporal_left_voxels,-0.14266080861333139,0.14266080861333139
middle_temporal_left_volume_mm3,-0.14266080861333139,0.14266080861333139
middle_temporal_left_tissue_fraction,-0.14266080861332933,0.14266080861332933
ventricle_right_wm_voxels,0.13396313010103297,0.13396313010103297
hippocampus_right_to_etiv,0.12611514252035882,0.12611514252035882
nWBV,-0.1154848693078024,0.1154848693078024
entorhinal_bilateral_volume_mm3,-0.11153989873357027,0.11153989873357027
ventricle_left_to_etiv,0.11031009821642816,0.11031009821642816
gm_wm_ratio,-0.09892346672763537,0.09892346672763537
ventricle_right_volume_mm3,-0.09414030357200814,0.09414030357200814
ventricle_right_csf_voxels,-0.09414030357200814,0.09414030357200814
ventricle_right_voxels,-0.09414030357200814,0.09414030357200814
ventricle_right_tissue_fraction,-0.09414030357200635,0.09414030357200635
hippocampus_right_gm_voxels,-0.09168782371344261,0.09168782371344261
hippocampus_right_volume_mm3,-0.09168782371344261,0.09168782371344261
hippocampus_right_voxels,-0.09168782371344261,0.09168782371344261
hippocampus_right_tissue_fraction,-0.09168782371344082,0.09168782371344082
middle_temporal_right_voxels,0.0859800705041237,0.0859800705041237
middle_temporal_right_volume_mm3,0.0859800705041237,0.0859800705041237
middle_temporal_right_gm_voxels,0.0859800705041237,0.0859800705041237
middle_temporal_right_tissue_fraction,0.08598007050412208,0.08598007050412208
wm_voxels,0.08053662518292855,0.08053662518292855
ventricle_right_gm_voxels,-0.08032274978677756,0.08032274978677756
brain_parenchyma_to_etiv,0.07959036646321963,0.07959036646321963
Subject_ID,-0.0745337507244594,0.0745337507244594
entorhinal_left_wm_voxels,-0.07065602927496678,0.07065602927496678
ventricle_bilateral_to_etiv,-0.06975072542349779,0.06975072542349779
entorhinal_right_wm_voxels,-0.06956711110780685,0.06956711110780685
ASF,-0.06447170444553649,0.06447170444553649
hippocampus_asymmetry_index,-0.06357680593292553,0.06357680593292553
ventricle_left_voxels,0.061558229056724534,0.061558229056724534
ventricle_left_volume_mm3,0.061558229056724534,0.061558229056724534
ventricle_left_csf_voxels,0.061558229056724534,0.061558229056724534
ventricle_left_tissue_fraction,0.061558229056721495,0.061558229056721495
eTIV,0.05785533978125235,0.05785533978125235
middle_temporal_laterality_ratio,0.051569919460230706,0.051569919460230706
entorhinal_bilateral_to_etiv,0.04878741643409508,0.04878741643409508
entorhinal_left_tissue_fraction,0.04677164623562222,0.04677164623562222
entorhinal_left_voxels,0.046771646235621606,0.046771646235621606
entorhinal_left_gm_voxels,0.046771646235621606,0.046771646235621606
entorhinal_left_volume_mm3,0.046771646235621606,0.046771646235621606
hippocampus_left_tissue_fraction,0.04385714404557269,0.04385714404557269
hippocampus_left_gm_voxels,0.04385714404557059,0.04385714404557059
hippocampus_left_voxels,0.04385714404557059,0.04385714404557059
hippocampus_left_volume_mm3,0.04385714404557059,0.04385714404557059
middle_temporal_bilateral_volume_mm3,-0.03786648977347167,0.03786648977347167
middle_temporal_left_wm_voxels,-0.036336461405375914,0.036336461405375914
inferior_temporal_left_gm_voxels,-0.03533336358851756,0.03533336358851756
inferior_temporal_left_voxels,-0.03533336358851756,0.03533336358851756
inferior_temporal_left_volume_mm3,-0.03533336358851756,0.03533336358851756
inferior_temporal_left_tissue_fraction,-0.03533336358851709,0.03533336358851709
total_temporal_lobe_volume_mm3,-0.029960088135816937,0.029960088135816937
inferior_temporal_right_tissue_fraction,0.029169473829396098,0.029169473829396098
inferior_temporal_right_volume_mm3,0.029169473829395706,0.029169473829395706
inferior_temporal_right_voxels,0.029169473829395706,0.029169473829395706
inferior_temporal_right_gm_voxels,0.029169473829395706,0.029169473829395706
inferior_temporal_right_csf_voxels,-0.02849234970274462,0.02849234970274462
hippocampus_bilateral_volume_mm3,-0.028317797358003514,0.028317797358003514
total_segmented_vol_mm3,-0.025126323573442653,0.025126323573442653
hippocampus_laterality_ratio,0.02489948201812004,0.02489948201812004
hippocampus_bilateral_to_etiv,-0.022694531320344366,0.022694531320344366
entorhinal_left_csf_voxels,0.02124755309880006,0.02124755309880006
ventricle_left_wm_voxels,-0.02037531561118705,0.02037531561118705
ventricle_bilateral_volume_mm3,-0.015847058370575116,0.015847058370575116
wm_frac,0.015775966062164012,0.015775966062164012
wm_vol_mm3,0.015442951536902732,0.015442951536902732
nwbv_abs_error,-0.01398930623054549,0.01398930623054549
inferior_temporal_right_wm_voxels,-0.010780098987652975,0.010780098987652975
hippocampus_to_temporal_ratio,0.00882686228894552,0.00882686228894552
gm_to_etiv,-0.002916091369343452,0.002916091369343452
inferior_temporal_bilateral_volume_mm3,-0.0026883493327265083,0.0026883493327265083
