feature,importance
gm_voxels,0.54714197
total_segmented_vol_mm3,0.06262518
middle_temporal_left_volume_mm3,0.021281084
Age,0.020069385
csf_vol_mm3,0.016639223
SES,0.015171256
middle_temporal_bilateral_volume_mm3,0.014215541
ventricle_bilateral_volume_mm3,0.012021288
ventricle_right_to_etiv,0.01199281
ventricle_left_wm_voxels,0.011693786
hippocampus_bilateral_to_etiv,0.011609704
entorhinal_left_wm_voxels,0.010754668
entorhinal_right_wm_voxels,0.010577465
Educ,0.009275008
entorhinal_bilateral_volume_mm3,0.009068471
gm_vol_mm3,0.0089114625
ventricle_left_gm_voxels,0.008898751
hippocampus_left_csf_voxels,0.00823875
M/F,0.008220085
hippocampus_right_csf_voxels,0.007978177
wm_vol_mm3,0.007605429
Subject_ID,0.0071745925
hippocampus_left_to_etiv,0.006900608
hippocampus_left_volume_mm3,0.0066485903
ASF,0.0064116223
inferior_temporal_left_wm_voxels,0.0063264486
hippocampus_left_wm_voxels,0.0063201245
inferior_temporal_left_csf_voxels,0.005650151
entorhinal_bilateral_to_etiv,0.0056035677
inferior_temporal_right_csf_voxels,0.005239739
hippocampus_right_to_etiv,0.0050854236
wm_voxels,0.004840147
eTIV,0.00469931
ventricle_right_wm_voxels,0.004651026
hippocampus_bilateral_volume_mm3,0.004553813
gm_wm_ratio,0.004436323
inferior_temporal_bilateral_volume_mm3,0.004346993
middle_temporal_right_wm_voxels,0.0041478346
entorhinal_right_csf_voxels,0.0041119293
entorhinal_left_csf_voxels,0.003927309
middle_temporal_asymmetry_index,0.0038228105
hippocampus_right_wm_voxels,0.0035175493
entorhinal_right_volume_mm3,0.003445689
ventricle_bilateral_to_etiv,0.0033917592
csf_to_etiv,0.003218293
middle_temporal_right_csf_voxels,0.0031546832
inferior_temporal_right_volume_mm3,0.0030256598
middle_temporal_left_csf_voxels,0.0030182372
nwbv_abs_error,0.00298867
inferior_temporal_right_wm_voxels,0.0028241223
hippocampus_right_volume_mm3,0.0026559765
gm_to_etiv,0.0026236125
ventricle_right_volume_mm3,0.0025236441
hippocampus_asymmetry_index,0.00245467
total_temporal_lobe_volume_mm3,0.002214772
entorhinal_asymmetry_index,0.0021649315
inferior_temporal_asymmetry_index,0.0019312525
middle_temporal_right_volume_mm3,0.0017917147
wm_to_etiv,0.0017358664
brain_parenchyma_to_etiv,0.0017263211
ventricle_left_volume_mm3,0.0015930407
entorhinal_left_volume_mm3,0.0015725659
ventricle_asymmetry_index,0.0015662888
ventricle_right_gm_voxels,0.0014047311
inferior_temporal_left_volume_mm3,0.0012567502
nWBV,0.001205768
middle_temporal_left_wm_voxels,0.0012003727
ventricle_left_to_etiv,0.00090523565
reconstructed_nwbv,0.0
hippocampus_left_gm_voxels,0.0
hippocampus_left_tissue_fraction,0.0
hippocampus_left_voxels,0.0
csf_voxels,0.0
middle_temporal_laterality_ratio,0.0
csf_frac,0.0
gm_frac,0.0
wm_frac,0.0
brain_parenchyma_frac,0.0
csf_to_brain_ratio,0.0
brain_parenchyma_vol_mm3,0.0
middle_temporal_left_tissue_fraction,0.0
hippocampus_right_voxels,0.0
entorhinal_left_tissue_fraction,0.0
middle_temporal_left_gm_voxels,0.0
inferior_temporal_laterality_ratio,0.0
inferior_temporal_right_gm_voxels,0.0
inferior_temporal_right_tissue_fraction,0.0
inferior_temporal_right_voxels,0.0
inferior_temporal_left_gm_voxels,0.0
inferior_temporal_left_tissue_fraction,0.0
inferior_temporal_left_voxels,0.0
entorhinal_laterality_ratio,0.0
entorhinal_right_gm_voxels,0.0
entorhinal_right_tissue_fraction,0.0
entorhinal_right_voxels,0.0
entorhinal_left_gm_voxels,0.0
entorhinal_left_voxels,0.0
hippocampus_right_tissue_fraction,0.0
ventricle_laterality_ratio,0.0
hippocampus_to_temporal_ratio,0.0
middle_temporal_right_voxels,0.0
ventricle_right_csf_voxels,0.0
ventricle_right_tissue_fraction,0.0
ventricle_right_voxels,0.0
ventricle_left_csf_voxels,0.0
middle_temporal_right_tissue_fraction,0.0
middle_temporal_right_gm_voxels,0.0
middle_temporal_left_voxels,0.0
ventricle_left_voxels,0.0
hippocampus_laterality_ratio,0.0
hippocampus_right_gm_voxels,0.0
ventricle_left_tissue_fraction,0.0
